2026-04-17 18:53:09 | common | default_trace_id | INFO | Extracted interaction_value from interaction_data: type=str
2026-04-17 18:53:09 | common | default_trace_id | INFO | Task interrupted: workflow=weather_flow_1.0, state_key=weather_flow_1_0, component_id=questioner, interaction_value_type=str
2026-04-17 18:53:09 | common | default_trace_id | INFO | Found first interrupt: component_id=questioner
2026-04-17 18:53:09 | common | default_trace_id | INFO | Workflow has 1 interrupts, returning only the first one for streaming
2026-04-17 18:53:09 | common | default_trace_id | INFO | BaseController: handle_event returned: <class 'list'>, True
2026-04-17 18:53:09 | common | default_trace_id | INFO | [demo-jump-recovery-001] <LLM Input>: [SystemMessage(role='system', content='你是一个意图分类助手，擅长判断用户的输入属于哪个分类。\n当用户输入没有明确意图或者你无法判断用户输入意图时请选择 分类0。\n以下是给定的意图分类列表：\n分类0：意图不明\n分类1：查询某地的天气情况、温度、气象信息，了解天气状况\n分类2：查询股票价格、股市行情、股票走势等金融信息\n分类3：规划旅行路线、推荐旅游景点、提供旅行建议\n\n请根据上述要求判断用户输入意图分类，输出要求如下：\n直接以JSON格式输出分类ID，不进行任何解释。JSON格式如下：\n {"result": int}', name=None), UserMessage(role='user', content='用户与助手的对话历史：\n用户: 查询天气\n助手: 请您提供地点，如城市名称相关的信息\n\n当前输入：\n查看股票', name=None)]
2026-04-17 18:53:30 | common | default_trace_id | INFO | [demo-jump-recovery-001] <LLM Output>: {"result": 2}
2026-04-17 18:53:30 | common | default_trace_id | INFO | [demo-jump-recovery-001] get intent: stock_flow
2026-04-17 18:53:30 | common | default_trace_id | INFO | [demo-jump-recovery-001] success to create task for intent: stock_flow
2026-04-17 18:53:30 | common | default_trace_id | INFO | Multi workflow mode: detected 股票查询
