2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "c485b12d-c104-49a5-8b6f-3d842dd8ca8a", "event_type": "graph_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.036974+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "d78964da-1d3b-4739-bb2b-fdc2e19d710d", "status": "success", "message": "Pregel graph engine execution interrupted", "metadata": {"total_steps": 2}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "bb7d9169-4fa9-4197-b921-a9f017959619", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.040360+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "d78964da-1d3b-4739-bb2b-fdc2e19d710d", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "cfd62f81-119b-45c2-9fff-ccb6e214ebf7", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.040923+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [interactive]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "96caf61c-c52f-4d83-95d1-3e161c190ef9", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.041292+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [interactive] ability [invoke]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "c2a6233c-f86e-4eb1-945e-b175f68f5bdb", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.042095+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [interactive] ability [invoke]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "09b2b72b-fea5-454b-948c-7ab51c5d39f1", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.042363+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [interactive]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "a8e61ad1-6eae-40b0-94f6-2897bc421a19", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.043033+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [end]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "end"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "7195a035-b388-48c1-931a-297d6267caf8", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.043326+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [end] ability [invoke]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "end"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "78b46a78-a3cb-489a-8c50-87955532769b", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.044207+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [end] ability [invoke]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "end"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "1653ab19-8e26-4c8f-aefc-0aeab514ee88", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.044433+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [end]", "metadata": {}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe", "node_id": "end"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "919e5679-4f4c-440c-a324-b69cf87eecc7", "event_type": "graph_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.044983+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "d78964da-1d3b-4739-bb2b-fdc2e19d710d", "status": "success", "message": "Pregel graph engine execution completed", "metadata": {"total_steps": 4}, "graph_id": "a6247502fa8f422bb325b35ff7876dbe"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "7be3072e-235f-4897-a108-e2eae8b94efe", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.047527+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "start"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "94739b0f-fde4-4c6c-ae3a-b484ed5fd066", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.047770+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [interactive], abilities is ['invoke']", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "6a92eb3c-97ae-483b-83aa-0f499ad22387", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.048002+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [end], abilities is ['invoke']", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "end"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "ab437741-17dd-4d99-b7d0-16e374149f4b", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.048489+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "079f7775-3b30-4abe-a999-9bd568a885c0", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.049435+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [start]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "start"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "fcc695d6-8579-4847-848a-8f6acb324dcf", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.049803+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [start] ability [invoke]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "start"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "e61ca331-d90b-461e-8baf-06356342b0e2", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.050334+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call node [start] ability [invoke]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "start"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "cebaf59c-d1c2-41da-b740-cd8e0517d8bb", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.050568+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Succeed to call batch-in node [start]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "start"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "18372cdb-2d80-4946-b44a-aeb67f683c37", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.051236+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [interactive]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "e9661bf9-66b4-4fab-b4de-c046dfd3ce2b", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.051476+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [interactive] ability [invoke]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "e3ce02ef-d98b-4025-9574-a26bc7aceac1", "event_type": "graph_vertex_ability_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.052056+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Interrupt to call node [interactive] ability [invoke]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "c93141c5-5742-4ef6-a7eb-fe4a398ae85a", "event_type": "graph_vertex_call_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.052325+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Interrupt to call batch-in node [interactive]", "metadata": {}, "graph_id": "4029ab538096481c9e5254677ff7d060", "node_id": "interactive"}
2026-05-17 17:26:20 | graph | default_trace_id | ERROR | {"event_id": "45649f26-faad-48d8-9a36-d1c93332b5bf", "event_type": "graph_super_step_error", "log_level": "ERROR", "timestamp": "2026-05-17T17:26:20.052865+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Failed to run graph super-step[2]", "exception": "(<openjiuwen.core.graph.pregel.base.Interrupt object at 0x0000022C9E34FBF0>,)", "error_code": -1, "error_message": "(<openjiuwen.core.graph.pregel.base.Interrupt object at 0x0000022C9E34FBF0>,)", "metadata": {"ns": "4029ab538096481c9e5254677ff7d060", "step": 2, "active_nodes": ["interactive"]}, "graph_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:26:20 | graph | default_trace_id | INFO | {"event_id": "17f032f0-7b37-451a-a7a7-001cdad4e6b5", "event_type": "graph_end", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.053691+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Pregel graph engine execution interrupted", "metadata": {"total_steps": 2}, "graph_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "91bc40fb-90c0-4ba3-bed5-7d70d4c271c9", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.006464+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [start], abilities is ['invoke']", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "start"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "54e92a7b-7cce-4fa8-81f2-bfc2c0a1b948", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.006769+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [ask_name], abilities is ['invoke']", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "ask_name"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "a86f9bb3-ac4e-494c-846a-a4a88b2207bb", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.006968+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [greet], abilities is ['invoke']", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "greet"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "9724cd6a-1848-4808-b350-adc9b1b38968", "event_type": "graph_vertex_init", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.007198+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Initialized node [end], abilities is ['invoke']", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "end"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "6254f874-1804-4591-b9bf-5faae15d4170", "event_type": "graph_start", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.071818+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "session_id": "8b4f7358-2380-493f-9d8d-c8cd97ee5e40", "status": "success", "message": "Pregel graph engine execution started", "metadata": {"is_top_level": true}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "8976e07b-9cbd-4af1-a15e-ad7a178fd81e", "event_type": "graph_vertex_call_start", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.076063+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call batch-in node [start]", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "start"}
2026-05-17 17:27:58 | graph | default_trace_id | INFO | {"event_id": "266e5666-52a0-4a5f-be0e-d4fe6346145a", "event_type": "graph_vertex_ability_start", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.076546+08:00", "module_type": "system", "module_id": "graph", "module_name": "graph", "status": "success", "message": "Begin to call node [start] ability [invoke]", "metadata": {}, "graph_id": "2c9d88252b364fa8a8a5dbdde8ed37ea", "node_id": "start"}
