2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "5bf536e2-a2cf-467f-8d6b-284e68cbdf05", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.045671+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "d78964da-1d3b-4739-bb2b-fdc2e19d710d", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a6247502fa8f422bb325b35ff7876dbe"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "27b7ecda-ff0b-4e46-8e4b-b6017c760c8a", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.048252+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "ae059487-5660-47a1-bba1-fdcff3c6738c", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.053928+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Begin to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "e93d483c-870f-46bf-8d9a-7a41997073d7", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.054221+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Succeed to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "4029ab538096481c9e5254677ff7d060"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "7c219b8a-16cd-44b2-b29c-837c09007ac1", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.055293+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Begin to clear all of current agent's workflow checkpoints on on manually release", "metadata": {"storage_type": "inmemory"}, "workflow_id": "{'4029ab538096481c9e5254677ff7d060'}"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "86386cf4-410a-4888-be45-c16452b32880", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.055549+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Succeed to clear all of current agent's workflow checkpoints on on manually release", "metadata": {"storage_type": "inmemory"}, "workflow_id": "{'4029ab538096481c9e5254677ff7d060'}"}
2026-05-17 17:26:20 | session | default_trace_id | INFO | {"event_id": "88218c25-1439-43c5-96b4-0687ed09d0bf", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T17:26:20.055780+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "68a6bab2-94f0-43eb-a381-e62ab7ed53e3", "status": "success", "message": "Remove workflow checkpoint store on manually release", "metadata": {"storage_type": "inmemory"}}
2026-05-17 17:27:58 | session | default_trace_id | INFO | {"event_id": "06d30d7b-7633-4e35-a4f2-785b83ff3bb3", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.009389+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "8b4f7358-2380-493f-9d8d-c8cd97ee5e40", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "2c9d88252b364fa8a8a5dbdde8ed37ea"}
2026-05-17 17:27:58 | session | default_trace_id | INFO | {"event_id": "76aeb34e-70b9-46b5-9c3c-305c92fcf77d", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.087021+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "8b4f7358-2380-493f-9d8d-c8cd97ee5e40", "status": "success", "message": "Workflow checkpoint save on interrupt", "metadata": {"reason": "interaction_required", "storage_type": "persistence"}, "workflow_id": "2c9d88252b364fa8a8a5dbdde8ed37ea"}
2026-05-17 17:27:58 | session | default_trace_id | INFO | {"event_id": "e1bb0b82-a489-4a6e-b246-dbc49460fd77", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.099129+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "8b4f7358-2380-493f-9d8d-c8cd97ee5e40", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "2c9d88252b364fa8a8a5dbdde8ed37ea"}
