2026-05-17 17:39:26 | workflow | default_trace_id | INFO | {"event_id": "8a653d84-4b03-43b0-888a-5ab74a5b6c75", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.359103+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c", "workflow_name": "", "outputs": "result=[OutputSchema(type='__interaction__', index=0, payload=InteractionOutput(id='ask_name', value='请输入您的姓名：'))] state=<WorkflowExecutionState.INPUT_REQUIRED: 'INPUT_REQUIRED'>"}
2026-05-17 17:39:26 | workflow | default_trace_id | INFO | {"event_id": "a560fc16-ad3a-42bc-8c81-498ca585cd5e", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.362769+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c", "workflow_name": "", "inputs": "user_inputs={} raw_inputs='张三'"}
2026-05-17 17:39:26 | workflow | default_trace_id | INFO | {"event_id": "01a5ec83-8617-40b1-a569-ce6662efc7e4", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.386604+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c", "workflow_name": "", "outputs": "result={'response': '你好，张三！欢迎使用 openJiuwen。'} state=<WorkflowExecutionState.COMPLETED: 'COMPLETED'>"}
2026-05-17 17:40:02 | workflow | default_trace_id | INFO | {"event_id": "582400df-8aeb-48fb-8ee9-2592a1518030", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:02.020791+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "1e8f507cc63242219ec9a7d206364425", "workflow_name": "", "inputs": {"query": "打招呼"}}
2026-05-17 17:40:27 | workflow | default_trace_id | INFO | {"event_id": "c1a92dd3-097b-448a-8b92-7928f4d4edda", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.258539+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868", "workflow_name": "", "inputs": {"query": "打招呼"}}
2026-05-17 17:40:27 | workflow | default_trace_id | INFO | {"event_id": "42db0c6b-8372-4c49-afbd-fbd33e5c8390", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.342245+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868", "workflow_name": "", "outputs": "result=[OutputSchema(type='__interaction__', index=0, payload=InteractionOutput(id='ask_name', value='请输入您的姓名：'))] state=<WorkflowExecutionState.INPUT_REQUIRED: 'INPUT_REQUIRED'>"}
2026-05-17 17:40:27 | workflow | default_trace_id | INFO | {"event_id": "82683a72-90b7-4baa-8f32-313f78cd9dbf", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.346473+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868", "workflow_name": "", "inputs": "user_inputs={} raw_inputs='张三'"}
2026-05-17 17:40:27 | workflow | default_trace_id | INFO | {"event_id": "8da4ee63-07d0-469d-a5e7-3e4d0f8a445f", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.369406+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868", "workflow_name": "", "outputs": "result={'response': '你好，张三！欢迎使用 openJiuwen。'} state=<WorkflowExecutionState.COMPLETED: 'COMPLETED'>"}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "50e9c97f-5a16-4d06-beba-6777df163d49", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.759937+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5", "workflow_name": "", "inputs": {"query": "hello"}}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "0ea3d699-3d00-4574-ac01-695ce2562eb0", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.773991+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5", "workflow_name": "", "outputs": "result=[OutputSchema(type='__interaction__', index=0, payload=InteractionOutput(id='interactive', value='请确认是否继续执行：'))] state=<WorkflowExecutionState.INPUT_REQUIRED: 'INPUT_REQUIRED'>"}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "eecd960b-a612-4b51-9c1f-9044dfc85a73", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.774644+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5", "workflow_name": "", "inputs": "user_inputs={} raw_inputs='继续执行，用户已确认'"}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "99ca84fa-29ca-4251-b83e-b1ed593ce846", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.782222+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5", "workflow_name": "", "outputs": "result={'response': '确认结果: True, 用户输入: 继续执行，用户已确认'} state=<WorkflowExecutionState.COMPLETED: 'COMPLETED'>"}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "52e5d19e-6cb4-44ca-a7e7-0651288df426", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.783853+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow invoke", "metadata": {}, "workflow_id": "f2ba5df7f44b42f7aafad559b9170abe", "workflow_name": "", "inputs": {"query": "test"}}
2026-05-17 17:40:57 | workflow | default_trace_id | INFO | {"event_id": "3a6a2e0c-2522-4c7a-be5c-bfae1f73fffb", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.792340+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Succeed to run workflow invoke", "metadata": {}, "workflow_id": "f2ba5df7f44b42f7aafad559b9170abe", "workflow_name": "", "outputs": "result=[OutputSchema(type='__interaction__', index=0, payload=InteractionOutput(id='interactive', value='请确认是否继续执行：'))] state=<WorkflowExecutionState.INPUT_REQUIRED: 'INPUT_REQUIRED'>"}
