2026-04-16 20:57:27 | session | default_trace_id | INFO | {"event_id": "ecc5d9ac-f8a7-4f24-a547-a10a0b42b988", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-16T20:57:27.862959+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "013", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_agent_1234"}
2026-04-16 20:57:27 | session | default_trace_id | INFO | {"event_id": "4de45957-a8aa-47bf-b61f-ed687e97c30a", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-16T20:57:27.863409+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "013", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_agent_1234"}
2026-04-16 20:57:27 | session | default_trace_id | INFO | {"event_id": "c1dee03e-1639-4f63-9688-fc210fcdc491", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-16T20:57:27.863913+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "013", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_agent_1234"}
2026-04-16 20:57:48 | session | default_trace_id | INFO | {"event_id": "77faea0a-8132-4e43-ac9d-d241bf98d168", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-16T20:57:48.580107+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "013", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_agent_1234"}
2026-04-16 20:57:48 | session | default_trace_id | INFO | {"event_id": "45f6a17b-1d2e-4a30-9c31-507d95a93a7f", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-16T20:57:48.580834+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "013", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_agent_1234"}
2026-04-16 21:02:44 | session | default_trace_id | INFO | {"event_id": "fc1ca34d-248d-4abc-93e4-e3c1253c1f8f", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-16T21:02:44.164474+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mcp_001", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_mcp_agent_001"}
2026-04-16 21:02:44 | session | default_trace_id | INFO | {"event_id": "d0faea8d-dc35-4f95-832e-c7f1e673a504", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-16T21:02:44.164907+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mcp_001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_mcp_agent_001"}
2026-04-16 21:02:44 | session | default_trace_id | INFO | {"event_id": "331372f4-1b5e-446d-8f62-47f33cc527b5", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-16T21:02:44.165278+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mcp_001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_mcp_agent_001"}
2026-04-16 21:03:02 | session | default_trace_id | INFO | {"event_id": "a74260df-56fe-409e-8e80-a5dc3666399b", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-16T21:03:02.329389+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mcp_001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_mcp_agent_001"}
2026-04-16 21:03:02 | session | default_trace_id | INFO | {"event_id": "2997431d-1348-466d-83c0-bcddd6121dd4", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-16T21:03:02.336090+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mcp_001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_mcp_agent_001"}
2026-04-17 10:45:03 | session | default_trace_id | INFO | {"event_id": "d3c13449-be76-4ecd-b72c-b998b8c54229", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-17T10:45:03.152618+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:45:03 | session | default_trace_id | INFO | {"event_id": "3f1bbf11-3da2-402c-9357-a88c18d4b62a", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T10:45:03.152949+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:45:03 | session | default_trace_id | INFO | {"event_id": "e88dd293-a856-47d2-96ef-da3189bf7bad", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T10:45:03.153199+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:50:49 | session | default_trace_id | INFO | {"event_id": "1527736a-68b0-41b0-b968-5424a247c9c5", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-17T10:50:49.717520+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:50:49 | session | default_trace_id | INFO | {"event_id": "7dcfb075-e37a-4012-9f07-a4281132aaea", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T10:50:49.718053+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:50:49 | session | default_trace_id | INFO | {"event_id": "47489e36-26f4-475a-8a7c-7161da2bba08", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T10:50:49.718415+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:51:43 | session | default_trace_id | INFO | {"event_id": "5c01c824-cfaf-4ae3-a122-7cd845675e78", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T10:51:43.293530+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 10:51:43 | session | default_trace_id | INFO | {"event_id": "56a469a4-8f53-448b-8069-6c0662e203d9", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T10:51:43.296489+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_review_001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_agent_001"}
2026-04-17 11:42:39 | session | default_trace_id | INFO | {"event_id": "c93522b8-7885-466b-98eb-9d0e689e995f", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-17T11:42:39.792589+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_tool_review_001", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_tool_agent_001"}
2026-04-17 11:42:39 | session | default_trace_id | INFO | {"event_id": "07bd7a05-f4f7-4726-b76e-818a4486a553", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T11:42:39.793178+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_tool_review_001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_tool_agent_001"}
2026-04-17 11:42:39 | session | default_trace_id | INFO | {"event_id": "28c26dfa-0d42-4302-9625-dfb0173ca869", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T11:42:39.793596+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_tool_review_001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_tool_agent_001"}
2026-04-17 11:44:57 | session | default_trace_id | INFO | {"event_id": "7d412715-af6a-416d-943a-74647c9350dd", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T11:44:57.969620+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_tool_review_001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_tool_agent_001"}
2026-04-17 11:44:57 | session | default_trace_id | INFO | {"event_id": "d28df6eb-9e24-4d44-bd53-469e70feb636", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T11:44:57.970735+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "skill_tool_review_001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "react_skill_tool_agent_001"}
