2026-05-17 16:02:52 | workflow | default_trace_id | INFO | {"event_id": "c3bac383-36e7-43de-be91-2793026566b7", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.399129+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 15}, "workflow_id": "a73da84f7bfe466582a00de3acf4a867", "workflow_name": ""}
2026-05-17 16:03:01 | workflow | default_trace_id | INFO | {"event_id": "77432ce9-0402-4438-b63d-81ef44fa6986", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.461611+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b", "workflow_name": "", "inputs": {"inputs": {"a": 1, "b": 2}}}
2026-05-17 16:03:01 | workflow | default_trace_id | INFO | {"event_id": "43571646-e9f2-4a91-bda6-f66a64111b28", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.481918+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 10}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b", "workflow_name": ""}
2026-05-17 16:03:01 | workflow | default_trace_id | INFO | {"event_id": "f2804095-2cbd-4200-8b75-4a0d8d565425", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.487174+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "65f508fa334e4a66bf0d160ca4fb8199", "workflow_name": "", "inputs": {"inputs": {"b": 2}}}
2026-05-17 16:04:41 | workflow | default_trace_id | INFO | {"event_id": "7ff8ca5d-ccbc-44c2-b1f0-4a0d05a059a0", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.862192+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698", "workflow_name": "", "inputs": {"inputs": {"a": 1, "b": 2}}}
2026-05-17 16:04:41 | workflow | default_trace_id | INFO | {"event_id": "c5a5b347-698a-4cf4-9265-41bea81996fd", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.883099+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 10}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698", "workflow_name": ""}
2026-05-17 16:04:41 | workflow | default_trace_id | INFO | {"event_id": "1e450743-b0f3-442e-bb7a-8e1cbd5c27ab", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.883773+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "8c7b549105134d9c950d9ec6e226d522", "workflow_name": "", "inputs": {"inputs": {"b": 2}}}
2026-05-17 16:06:28 | workflow | default_trace_id | INFO | {"event_id": "b2135071-fadb-4652-bc7c-fcf9c67945e9", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.515562+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "a88458971ffd4deb9790dfb9f143b560", "workflow_name": "", "inputs": {"inputs": {"a": 1, "b": 2}}}
2026-05-17 16:06:28 | workflow | default_trace_id | INFO | {"event_id": "94b23fea-7d12-4495-bd37-b22b82a43f8e", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.536938+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 10}, "workflow_id": "a88458971ffd4deb9790dfb9f143b560", "workflow_name": ""}
2026-05-17 16:06:28 | workflow | default_trace_id | INFO | {"event_id": "be8f5412-e0b5-4298-96ef-e1b8d83f8175", "event_type": "workflow_execute_start", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.537504+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Begin to run workflow stream", "metadata": {}, "workflow_id": "00cf48e2630c408f8695daee2e84c9ae", "workflow_name": "", "inputs": {"inputs": {"b": 2}}}
2026-05-17 16:06:28 | workflow | default_trace_id | INFO | {"event_id": "d29351d7-2cad-4346-b5fe-dcdc94053b38", "event_type": "workflow_execute_end", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.550984+08:00", "module_type": "workflow", "module_id": "workflow", "module_name": "workflow", "status": "success", "message": "Succeed to run workflow stream", "metadata": {"total_chunks": 10}, "workflow_id": "00cf48e2630c408f8695daee2e84c9ae", "workflow_name": ""}
