2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "a238510e-239c-4992-ace1-b5037420e15d", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.828013+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "42c3859c-7763-44fd-84b8-d2ea5bff093b", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.837642+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "cccb1819-fc3d-4d1a-bb82-3e3ad991f762", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.838093+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "ce98204f-0f5c-444c-ab10-2eb98e08d484", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.838342+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7ed0be7c-38bb-47b3-95c2-d252628e964d", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "368cba738a9b42d7bedb7d7a5fa8a99b"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "ec0ec9bf-5a6b-4ad3-9df5-c5adf81a7bf7", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.841465+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9f9a5e3b-6189-486e-b184-07263e615305", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "ae4ec23f09944897bcfb12deddd7a087"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "0b39ea63-7934-4973-9c3a-9ccc3c846265", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.851356+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9f9a5e3b-6189-486e-b184-07263e615305", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "ae4ec23f09944897bcfb12deddd7a087"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "b2425e86-3f06-4878-be4f-07dc3188dec2", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.851586+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9f9a5e3b-6189-486e-b184-07263e615305", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "ae4ec23f09944897bcfb12deddd7a087"}
2026-05-17 15:16:36 | session | default_trace_id | INFO | {"event_id": "2f0217ed-2760-462a-9ab1-ab1518795d04", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T15:16:36.851804+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9f9a5e3b-6189-486e-b184-07263e615305", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "ae4ec23f09944897bcfb12deddd7a087"}
2026-05-17 15:16:57 | session | default_trace_id | INFO | {"event_id": "a1503d9a-18c5-46af-9049-2f7b7bd8fb8c", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T15:16:57.712784+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:57 | session | default_trace_id | INFO | {"event_id": "6e8444de-2ca3-444c-b2f9-a238cd5e69a7", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T15:16:57.713512+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:57 | session | default_trace_id | INFO | {"event_id": "fde42d1b-409a-4a3e-9294-70e6bb40c1c9", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T15:16:57.713929+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:58 | session | default_trace_id | INFO | {"event_id": "d79d90cc-e607-48a3-918f-f09ad4d69d71", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T15:16:58.369384+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:58 | session | default_trace_id | INFO | {"event_id": "aa2ffe4d-10c4-467e-95d6-a21a8839ea26", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T15:16:58.369983+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:58 | session | default_trace_id | INFO | {"event_id": "cdc73b09-31bc-4179-8526-ff8021573b18", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T15:16:58.371145+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:58 | session | default_trace_id | INFO | {"event_id": "c8858979-2c8c-42af-82a8-16e1eaec59d4", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T15:16:58.371607+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:59 | session | default_trace_id | INFO | {"event_id": "82808a85-1f22-4107-9e83-ac342027b7d8", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T15:16:59.134436+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
2026-05-17 15:16:59 | session | default_trace_id | INFO | {"event_id": "a8e6cc0c-8648-4fcc-bb2e-90eea1b6fb1c", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T15:16:59.135604+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "mock_session", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "CustomAgent"}
