2026-04-17 18:48:53 | session | default_trace_id | INFO | {"event_id": "f899d9ad-4fdf-43b8-b9f1-f7258473134b", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-17T18:48:53.604537+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:48:53 | session | default_trace_id | INFO | {"event_id": "163fd6ee-251b-4b21-82dd-776084abfd82", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:48:53.605175+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:48:53 | session | default_trace_id | INFO | {"event_id": "c610e478-e4c5-4605-98b3-39a37c29fd1f", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:48:53.605841+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:48:53 | session | default_trace_id | INFO | {"event_id": "6cda70ae-751a-4911-86a9-2fb8690dda5e", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:48:53.608023+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:48:53 | session | default_trace_id | INFO | {"event_id": "762eae3f-517d-4f91-b24f-55efe9ce8018", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:48:53.609062+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:49:09 | session | default_trace_id | INFO | {"event_id": "f3ebd964-5674-4a84-9137-307b2f6e0ba0", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-04-17T18:49:09.251149+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "83616422-03a7-46ec-941d-63889ada95c8", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.595188+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "4dc771f2-9538-4791-9bcf-ea30372658d8", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.595999+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "b531cb7d-bcff-4267-be40-909d8a62cafa", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.605997+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "e5e56eb4-2912-4d62-9edf-1e63dfdb27b2", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.607140+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "e81ddfd9-4b58-4541-8dcc-d9dd868a119d", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.608269+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
