2026-04-17 19:22:28 | runner | default_trace_id | INFO | {"event_id": "aea4685f-0401-4d03-89d1-e0f2be287868", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:22:28.676533+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "stock_flow_1.0", "resource_type": "workflow", "tag": "multi_workflow_jump_agent", "card": "id=stock_flow_1.0,name=股票查询"}
2026-04-17 19:22:28 | runner | default_trace_id | INFO | {"event_id": "57e756ff-ac9a-4108-b99a-5576cbbafaa8", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:22:28.677246+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "travel_flow_1.0", "resource_type": "workflow", "tag": "multi_workflow_jump_agent", "card": "id=travel_flow_1.0,name=旅行规划"}
2026-04-17 19:22:28 | runner | default_trace_id | INFO | {"event_id": "66806912-ce31-4392-ae99-f379b7f0f0f0", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:22:28.685791+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "7b8fb3e110f28a557fc010f137712a38c200cd6e8061815ab2b90fe8aa9a2a52", "resource_type": "model", "tag": "__global__"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "1e684c29-898e-4a49-958f-6cf84091b653", "event_type": "runner_start", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.803681+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "Begin to start runner", "metadata": {}, "runner_id": "global"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "b6556096-43a6-46f0-aedb-08f552dd45c7", "event_type": "runner_start", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.804108+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "Succeed to start runner", "metadata": {}, "runner_id": "global"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "85b8e415-56da-40ef-91ed-cdcecccc21a3", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.808718+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "weather_flow_1.0", "resource_type": "workflow", "tag": "multi_workflow_jump_agent", "card": "id=weather_flow_1.0,name=天气查询"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "fff8f330-80ae-4f0c-afa5-ec962e591ef7", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.810534+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "stock_flow_1.0", "resource_type": "workflow", "tag": "multi_workflow_jump_agent", "card": "id=stock_flow_1.0,name=股票查询"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "36fe24c7-91e0-4840-877a-eb63acab1a92", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.811861+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "travel_flow_1.0", "resource_type": "workflow", "tag": "multi_workflow_jump_agent", "card": "id=travel_flow_1.0,name=旅行规划"}
2026-04-17 19:27:30 | runner | default_trace_id | INFO | {"event_id": "62716f6d-6cd1-4e01-b9e5-787b3ec6efeb", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-04-17T19:27:30.823971+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "7b8fb3e110f28a557fc010f137712a38c200cd6e8061815ab2b90fe8aa9a2a52", "resource_type": "model", "tag": "__global__"}
2026-04-17 19:28:28 | runner | default_trace_id | INFO | {"event_id": "313cc067-388e-4f5f-81b5-37093756d9b2", "event_type": "runner_stop", "log_level": "INFO", "timestamp": "2026-04-17T19:28:28.108871+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "Begin to stop runner", "metadata": {}, "runner_id": "global"}
2026-04-17 19:28:28 | runner | default_trace_id | INFO | {"event_id": "0f8f020a-30c2-407e-9f19-4fe834849e79", "event_type": "runner_stop", "log_level": "INFO", "timestamp": "2026-04-17T19:28:28.109297+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "Succeed to stop runner", "metadata": {}, "runner_id": "global"}
